Street,City,State,State_name,Zip_code,LON,LAT
NATIONAL HWY,CUMBERLAND,MD,Maryland,21502,-78.8425,39.6363
NEW GEORGES CREEK RD SW,FROSTBURG,MD,Maryland,21532,-78.9103,39.6497
W INDUSTRIAL BLVD,CUMBERLAND,MD,Maryland,21502,-78.744,39.6296
W MAIN ST,HANCOCK,MD,Maryland,21750,-78.1861,39.6999
SCALP AVE,JOHNSTOWN,PA,Pennsylvania,15904,-78.8635,40.2814
BUSINESS 220,BEDFORD,PA,Pennsylvania,15522,-78.5114,40.0514
LINCOLN HWY,BREEZEWOOD,PA,Pennsylvania,15533,-78.2372,39.999
OLD ROUTE 22,DUNCANSVILLE,PA,Pennsylvania,16635,-78.4408,40.4213
S VIKING WAY,MARTINSBURG,WV,West Virginia,25401,-77.9886,39.4622
EDWIN MILLER BLVD,MARTINSBURG,WV,West Virginia,25404,-77.9585,39.4788
RAILWAY LN,HAGERSTOWN,MD,Maryland,21740,-77.765,39.6291
MARYLAND AVE,HAGERSTOWN,MD,Maryland,21740,-77.7326,39.6234
DUAL HWY,HAGERSTOWN,MD,Maryland,21740,-77.6967,39.6248
PROSPECT AVE,HAGERSTOWN,MD,Maryland,21742,-77.7171,39.6538
PENNSYLVANIA AVE,HAGERSTOWN,MD,Maryland,21742,-77.7206,39.6851
S ANTRIM WAY,GREENCASTLE,PA,Pennsylvania,17225,-77.7341,39.7882
LINCOLN WAY W,CHAMBERSBURG,PA,Pennsylvania,17202,-77.683,39.9362
LINCOLN WAY W,CHAMBERSBURG,PA,Pennsylvania,17202,-77.6831,39.9361
E FREDERICK ST,WALKERSVILLE,MD,Maryland,21793,-77.3458,39.4835
FREDERICK RD,THURMONT,MD,Maryland,21788,-77.4205,39.6125
S SETON AVE,EMMITSBURG,MD,Maryland,21727,-77.3279,39.7022
E MAIN ST,WAYNESBORO,PA,Pennsylvania,17268,-77.5729,39.7524
LINCOLN WAY E,CHAMBERSBURG,PA,Pennsylvania,17201,-77.6445,39.9315
BUFORD AVE,GETTYSBURG,PA,Pennsylvania,17325,-77.2409,39.8334
W KING ST,SHIPPENSBURG,PA,Pennsylvania,17257,-77.5339,40.0438
,SHIPPENSBURG,PA,Pennsylvania,17257,-77.5041,40.0674
BLUE MOUNTAIN PLZ,NEWBURG,PA,Pennsylvania,17240,-77.5553,40.1373
W HIGH ST,EBENSBURG,PA,Pennsylvania,15931,-78.7351,40.4824
PLEASANT VALLEY BLVD,ALTOONA,PA,Pennsylvania,16602,-78.4015,40.4827
E 25TH AVE,ALTOONA,PA,Pennsylvania,16601,-78.4023,40.5348
E PLEASANT VALLEY BLVD,TYRONE,PA,Pennsylvania,16686,-78.2531,40.6641
N FRONT ST,PHILIPSBURG,PA,Pennsylvania,16866,-78.2306,40.9039
BEE LINE HWY,DU BOIS,PA,Pennsylvania,15801,-78.7248,41.1226
S SAINT MARYS ST,ST MARYS,PA,Pennsylvania,15857,-78.5602,41.4076
COMFORT LN,ST MARYS,PA,Pennsylvania,15857,-78.5619,41.4042
DAISY STREET EXT,CLEARFIELD,PA,Pennsylvania,16830,-78.4141,41.0228
WILLIAM PENN HWY,HUNTINGDON,PA,Pennsylvania,16652,-78.0336,40.4892
S ATHERTON ST,STATE COLLEGE,PA,Pennsylvania,16801,-77.855,40.7856
E BISHOP ST,BELLEFONTE,PA,Pennsylvania,16823,-77.7586,40.9143
S LOGAN BLVD,BURNHAM,PA,Pennsylvania,17009,-77.5654,40.6276
W FREEDOM AVE,BURNHAM,PA,Pennsylvania,17009,-77.5746,40.6299
HOGAN BLVD,MILL HALL,PA,Pennsylvania,17751,-77.4751,41.1179
NEW KENT HWY,QUINTON,VA,Virginia,23141,-77.1825,37.5222
TAPPAHANNOCK BLVD,TAPPAHANNOCK,VA,Virginia,22560,-76.8689,37.9012
14TH ST,WEST POINT,VA,Virginia,23181,-76.799,37.537
FOX CENTRE PKWY,GLOUCESTER,VA,Virginia,23061,-76.527,37.3978
N MAIN ST,KILMARNOCK,VA,Virginia,22482,-76.3899,37.726
DAHLGREN RD,KING GEORGE,VA,Virginia,22485,-77.0726,38.3396
GREAT MILLS RD,LEXINGTON PARK,MD,Maryland,20653,-76.4658,38.2601
VILLAGE CENTER DR,LUSBY,MD,Maryland,20657,-76.4373,38.374
LANKFORD HWY,ONLEY,VA,Virginia,23418,-75.7147,37.6998
LANKFORD HWY,OAK HALL,VA,Virginia,23416,-75.5483,37.9294
MOUNT VERNON RD,PRINCESS ANNE,MD,Maryland,21853,-75.6974,38.2135
W CEDAR LN,FRUITLAND,MD,Maryland,21826,-75.6144,38.3289
MOUNT HERMON RD,SALISBURY,MD,Maryland,21804,-75.5726,38.3682
CRAIN HWY,LA PLATA,MD,Maryland,20646,-76.9847,38.5421
ROSEWICK RD,LA PLATA,MD,Maryland,20646,-76.9855,38.5572
CRAIN HWY,WALDORF,MD,Maryland,20603,-76.9135,38.6233
LEONARDTOWN RD,WALDORF,MD,Maryland,20601,-76.8987,38.62
